Time		ROI1	ROI2	ROI3	ROI4	ROI5	ROI6	ROI7	ROI8	ROI9	ROI10	ROI11	ROI12	ROI13	ROI14	ROI15	ROI16	ROI17	ROI18	ROI19	ROI20	ROI21	ROI22	ROI23	ROI24	ROI25	ROI26	ROI27	ROI28	ROI29
0.4		1.059399	0.9984565	1.019746	0.99925322	1.03146	1.02232	0.9908012	1.0073421	1.02279	1.036457	1.024279	0.9912211	0.989488	1.02545	1.051566	1.057995	1.044135	1.0010134	1.053227	1.013799	1.0055316	1.0036695	0.979774	0.9943088	1.039172	1.029422	1.017862	0.967081	1.033912
0.41		1.042114	1.034281	1.025864	1.030616	1.020399	1.068111	1.057179	1.015515	0.995998	0.9936518	0.987336	1.027934	0.99971141	0.98528	1.039307	1.013472	1.026986	1.036642	1.052563	1.00286	0.99985522	1.069924	1.030532	1.027123	1.020812	1.024256	1.0096066	1.013549	0.984015
0.42		1.04957	1.015977	1.014716	1.020007	1.01804	1.067808	1.036893	1.032959	1.017728	1.077001	1.064256	1.0081497	1.023518	1.040411	1.073865	1.035522	0.987228	0.9913651	1.031795	1.019786	1.0065166	1.07747	1.041145	1.00060628	1.037755	1.026184	1.012565	1.053199	1.048415
0.43		1.090738	1.007595	1.0074734	1.0086043	1.021815	1.0061165	1.019321	1.017001	1.011888	1.05352	1.021853	1.046528	1.013921	1.014969	1.041384	1.041987	0.987308	1.030718	1.043699	1.059301	1.038244	1.033	1.074246	1.0060054	0.9937572	1.036839	0.953867	1.012966	0.9999621
0.44		1.023969	1.0069891	1.017664	1.023021	1.0090456	1.026434	1.058734	1.0045034	1.053523	1.040353	0.9944102	1.015103	1.035153	1.0025681	1.054692	1.071826	1.023802	1.030296	1.019809	1.088703	1.01008	0.959556	0.970145	1.00077091	1.016762	1.035392	1.030218	0.9935816	1.018707
0.45		1.034792	0.98727	1.016141	0.988827	0.975085	1.050196	1.0060975	1.0098319	0.986725	0.981594	1.053371	0.981924	1.031644	1.01851	0.9832	0.974146	1.0015799	1.04864	1.015836	1.031002	1.013334	1.0021812	1.026504	1.013569	1.013205	1.018249	1.009944	1.046255	1.084721
0.46		1.032092	1.023678	1.017701	1.027285	1.043368	1.010699	1.020175	1.021497	1.063644	1.024313	1.033008	1.048285	0.99950695	1.016321	0.986803	0.9981885	1.029211	1.032954	1.079976	0.9981204	1.021684	0.998054	1.026124	0.974838	0.975644	1.044339	1.0074691	0.98487	1.053376
0.47		1.034695	1.0028852	1.041937	1.013843	1.0094398	1.046309	1.01274	1.019991	1.017998	1.055141	1.045381	1.010385	1.033223	1.021337	1.0083208	1.0095268	1.0033234	1.050791	1.038055	1.046779	1.025555	1.027369	1.024073	1.02378	1.02059	1.029767	1.00069799	0.974929	0.988472
0.48		1.0095943	1.0046016	1.037727	1.021523	1.052854	0.99918502	1.049159	1.047591	0.982726	1.022797	1.063201	1.040531	1.018276	1.033054	1.069412	1.035324	1.008923	1.050903	1.036487	1.038021	1.009343	1.0081401	1.012276	1.032643	1.016087	0.9935599	1.031047	1.0086531	0.965939
0.49		1.051904	0.965513	1.03584	1.02457	1.0071615	1.025308	1.033758	1.037803	1.055133	1.042637	1.012518	0.9959551	1.0044022	1.017587	1.048684	0.9974506	0.9947728	1.031874	1.016886	1.048521	1.020562	1.034884	0.9913542	0.983424	0.9952148	0.9959202	1.026118	1.042018	1.014681
