Time	ROI1	ROI2	ROI3	ROI4	ROI5	ROI6	ROI7	ROI8	ROI9	ROI10	ROI11	ROI12	ROI13	ROI14	ROI15
1.02	1.013755	1.013029	1.0050368	1.0073103	0.985673	1.051195	1.057128	1.056729	1.026871	1.021985	1.022338	1.0017203	1.083508	1.026339	0.967604
1.03	1.0074084	1.013672	1.0023616	0.99961978	0.955068	1.032044	1.03149	1.070699	1.01844	1.060272	1.077086	1.17776	1.026464	1.050481	0.97793
1.04	1.0058087	1.022789	0.9936839	1.0020512	0.99933338	1.060405	0.975474	1.07975	1.078942	1.052404	0.933823	1.11844	1.0059714	0.971578	0.968665
1.05	1.013045	1.010157	0.980066	1.0063555	1.05937	1.037211	0.9904327	1.055785	1.027216	1.055069	1.052706	1.067735	1.05729	0.971694	0.977011
1.06	1.025901	1.016763	0.996073	1.0033969	1.040407	1.14405	1.020262	0.97587	1.019254	1.017317	1.060011	1.089713	1.010686	1.065375	1.0084773
1.07	1.0092568	1.047046	1.038508	1.011975	1.032586	1.061603	0.989898	1.029779	0.966704	0.948745	1.015927	0.99934655	1.012651	0.9958215	1.0045144
1.08	1.031042	1.036733	1.013045	1.013955	1.0016129	1.10643	0.9963877	1.057345	1.12116	0.981065	1.0015073	1.04811	1.093989	1.038227	0.9907344
1.09	1.0097231	1.035755	1.015517	1.0040462	0.975557	1.0067978	1.066411	1.02957	0.955565	0.9921152	1.057262	1.008024	1.088111	0.9939826	0.995773
1.1	1.0047212	0.9920108	1.0072626	0.9972882	0.9931717	1.067075	1.018636	1.0037369	0.978071	1.0093407	0.972416	1.053183	1.028579	1.059711	1.029935
1.11	1.01407	1.013773	0.985216	1.016244	1.031133	1.013161	0.9967872	0.987814	1.0088034	1.013126	1.045348	1.028969	1.10123	1.042119	1.031716
1.12	1.007284	1.03282	0.9913115	0.9988967	1.067742	1.032208	0.9988374	1.035514	0.973102	1.00026221	0.987911	1.0066841	0.9973917	1.016302	1.000034974
1.13	0.99964599	1.018179	1.023546	0.9925799	0.965501	1.063962	0.981427	1.072887	1.056507	0.953025	1.031082	1.05891	1.019766	1.0053465	1.0011792
1.14	1.020352	0.9975789	1.007412	1.0056701	1.060539	1.054908	1.058912	1.045301	1.038963	1.017098	1.067469	1.00066371	0.9949086	1.045747	1.028399
1.15	1.015944	0.9952345	1.015847	1.0085	1.041315	1.034899	1.074265	1.013862	1.018622	1.035629	0.966353	1.051355	0.966955	1.09135	0.975606
