Time	ROI1	ROI2	ROI3	ROI4	ROI5	ROI6	ROI7	ROI8	ROI9	ROI10
2.04	1.0011756	0.9922575	1.018082	1.013919	1.021604	1.0049342	1.010588	1.012694	0.9915665	1.042954
2.05	1.039365	0.9943748	1.037082	1.044151	1.014768	1.016983	1.047338	1.02008	0.9932391	1.028506
2.06	1.0024082	0.99959855	1.023474	1.038805	1.021109	0.982403	1.05059	0.978377	1.00026876	0.9943024
2.07	1.033161	0.9948162	1.0039149	0.98399	1.022912	0.987253	0.968515	1.020665	1.017202	0.9901713
2.08	0.973321	1.0017652	1.0042012	1.043376	1.0034872	0.9966445	1.0057871	0.977807	1.036887	1.047742
2.09	0.9949907	1.0014291	0.965951	0.989327	1.02035	0.9915871	1.046487	1.036291	0.961941	1.004909
2.1	0.988176	0.9978847	1.047007	0.970341	1.024724	1.026756	1.037926	1.05936	1.042854	1.0065921
2.11	0.982815	1.00069361	1.053104	1.029047	1.025358	1.046117	1.0012789	1.0028125	1.015368	1.0042926
2.12	1.010762	1.0013108	1.076314	0.9947822	1.032785	1.020334	1.063123	1.049885	1.045764	1.013324
2.13	0.9968189	1.0068763	1.042837	1.08137	1.030512	1.015889	1.0088041	1.071732	1.016889	1.030677
2.14	1.0054916	0.9932313	0.9941804	1.086801	1.010695	0.9932922	1.057602	1.086708	0.9910125	1.0055241
2.15	1.022016	1.0012087	0.985108	1.10671	1.002019	0.9901409	1.034409	1.095615	0.982624	0.980094
2.16	0.9989529	0.9955139	0.980306	1.089624	1.023362	1.019632	1.0079954	1.10676	1.038347	1.057135
2.17	1.016757	1.0052659	0.9965625	1.076268	1.017589	1.0043897	1.033553	1.038238	1.023735	0.998085
2.18	1.0080489	0.9942475	1.065387	1.21698	1.052605	0.9957209	1.019273	1.10103	0.978953	1.072223
2.19	0.986197	0.999910952	1.010714	1.14699	0.9915969	1.03666	0.976355	1.036816	1.014981	0.9498
2.2	0.9977242	0.988741	1.026411	1.13991	1.053372	0.973915	1.0099808	1.025873	1.039285	1.042771
2.21	1.009682	0.9975813	1.031512	1.17277	1.028886	1.021455	1.034267	1.023234	0.9905083	0.979024
2.22	0.99971665	0.988551	1.031473	1.11517	1.021962	1.018837	1.02682	1.039555	1.024406	1.061596
2.23	1.044789	0.990945	1.049738	1.093544	0.9936658	1.021636	1.016878	1.030081	1.0064182	1.061369
2.24	1.044128	0.99957201	0.96778	1.12507	1.0021696	0.957523	1.023606	0.9930586	1.028915	1.022351
2.25	1.03946	0.9980194	0.985093	1.077164	1.012411	1.046225	1.027802	1.025115	1.027093	1.043925
2.26	1.012575	1.0021799	1.0059441	1.096002	0.989766	0.974873	1.030652	1.047398	1.019314	0.9986787
2.27	1.15946	0.983276	1.3848	1.10734	1.036445	1.16035	1.15592	1.11173	1.028455	1.13815
2.28	1.14	0.995701	1.33611	1.1487	1.0080976	1.12696	1.09191	1.063032	1.036144	1.10211
2.29	1.11414	0.9946584	1.21858	1.090322	0.9934455	1.099841	1.12066	1.048481	1.029954	1.10843
2.3	1.091508	0.9933747	1.17559	1.11673	1.0078271	1.060359	1.032333	1.061477	1.013681	1.040332
2.31	1.044787	0.9918071	1.19673	1.094965	1.027241	1.066732	1.064862	1.062397	1.03795	1.077507
2.32	1.17225	0.989415	1.26153	1.091514	1.024987	1.15144	1.043267	0.99951334	0.98092	1.14127
2.33	1.16754	0.986147	1.23861	1.099654	1.0074721	1.12541	1.039382	1.080443	1.038113	1.094165
2.34	1.14231	0.9913731	1.17138	1.097077	1.0052632	1.063632	1.044239	0.99938306	1.033034	1.1257
2.35	1.13211	0.9957192	1.11774	1.031903	1.045103	1.068835	0.975226	1.013623	1.035678	1.095542
2.36	1.077043	0.993238	1.093249	1.099611	1.041508	1.080906	0.957409	1.13715	1.041039	1.045267
2.37	1.069797	0.9929635	1.092724	1.10837	1.036562	1.032043	1.035826	1.070337	1.013089	1.025229
2.38	1.0671	0.981369	1.062858	1.10597	1.16272	1.078382	1.065564	1.064201	1.050362	1.030992
2.39	1.034009	0.991278	1.080913	1.13204	1.11004	1.051477	1.037321	1.018765	1.015942	1.037529
2.4	1.028027	0.9969518	1.0358	1.10515	1.11998	1.038541	1.01811	1.025956	1.00057024	1.045172
2.41	1.052198	0.989969	1.066158	1.096812	1.091566	1.039368	0.986738	1.045357	1.038712	1.027715
2.42	1.027596	0.9911003	1.025649	1.066214	1.071414	1.038916	0.98291	1.033264	1.022944	1.062151
