Time	ROI1	ROI2	ROI3	ROI4	ROI5	ROI6	ROI7	ROI8	ROI9	ROI10	ROI11	ROI12	ROI13	ROI14	ROI15	ROI16
0.73	1.018103	1.042473	1.021163	0.970881	0.980771	1.016742	1.053906	1.034941	1.011395	1.0018209	1.0065966	0.979083	1.022361	1.021254	1.010816	0.942209
0.74	0.995903	0.9982578	0.9945677	1.034945	1.028245	1.017541	1.018662	0.968413	0.975587	0.9972997	1.097895	1.0023407	1.025395	1.0022839	1.028569	1.050838
0.75	1.001244	1.039865	1.012342	0.964412	1.026286	0.9965853	1.026169	1.056791	1.050188	1.027834	1.055642	1.065887	0.985391	1.084457	1.040612	0.96016
0.76	1.036215	1.022803	1.027926	1.0050878	0.987247	1.07665	1.015699	1.040124	1.022733	1.014233	1.024988	1.066191	1.0063195	0.976666	0.969567	1.035515
0.77	1.037461	0.9924496	1.025267	1.0092827	0.9927336	1.049976	1.08263	1.0014886	1.027229	1.0074651	1.011985	1.0099238	0.978676	1.053529	1.0010133	0.9905174
0.78	1.013742	1.016899	1.012712	1.006863	1.039475	0.9951502	1.035796	1.025807	0.978269	1.040213	0.96415	0.930165	0.9920777	1.018786	0.982877	1.032136
0.79	1.0047071	1.00348	1.018466	0.928747	1.033774	1.0065806	1.065658	0.970894	1.0072884	1.012043	0.984563	1.037967	0.97421	0.99935004	1.016079	1.082454
0.8	1.0016444	0.9918383	0.9965692	1.035143	0.9903236	1.017011	1.048494	0.985961	1.036172	1.024066	0.988929	1.066549	0.987486	1.045011	1.064253	1.050426
0.81	0.994764	1.02841	1.023568	0.9935333	1.032848	1.0066359	1.039058	1.015778	1.090182	0.987913	1.046911	1.051118	1.034007	1.04166	1.064208	1.029591
0.82	1.022023	1.038821	1.010831	1.074057	1.010661	1.0035561	1.031151	1.04253	1.042295	0.9939512	1.074025	1.028347	1.06356	1.024592	1.050038	1.0036079
0.83	1.047171	1.0097233	1.0089316	1.054397	1.020091	1.036424	1.027357	1.026961	0.965302	0.9950545	0.959215	1.057611	1.021638	0.979611	1.079743	1.026125
0.84	1.009513	1.019982	1.095193	0.9936761	1.02465	1.020974	0.9984541	0.9985752	1.022513	1.055496	1.071702	1.071316	1.065245	0.9988066	1.019054	1.068855
0.85	1.023974	1.004989	1.025792	0.989028	0.9905137	1.045856	1.079609	1.0040918	1.013652	1.018843	1.031514	1.019733	0.988765	1.033301	0.931569	0.988079
0.86	0.985143	1.0027632	1.024861	0.9985874	1.061051	0.9975194	1.066543	0.9922431	1.0020986	1.03817	0.9959054	1.069438	0.9906236	1.042025	1.062291	1.067679
0.87	0.997603	0.981635	1.042161	0.988411	1.045195	1.037273	1.084442	1.035132	0.9944273	1.0080278	0.966276	1.0022165	1.037853	1.045452	0.972801	1.039169
0.88	1.025367	1.031343	0.966192	1.012737	1.07269	0.96082	1.011195	0.995434	1.025634	1.031538	1.067359	1.05628	1.026756	1.032263	0.9948131	1.057712
0.89	0.980002	1.015915	1.027978	0.983298	1.0043335	1.012838	1.07582	1.052782	1.0089164	0.9965931	1.020947	1.01816	1.001699	1.045246	1.0029623	0.984387
0.9	1.011144	0.958067	1.020655	1.02462	1.020966	1.023969	1.042391	1.019003	1.02169	1.0050141	0.955253	0.958342	1.025168	0.972289	1.016962	1.0038465
0.91	1.014882	1.045389	1.025907	1.026814	1.034473	1.0036919	1.02569	1.062457	1.00072477	1.012407	1.022832	1.082429	1.050323	0.982304	1.032596	0.996391
0.92	0.982539	1.012141	1.055904	1.031376	0.994383	1.040289	1.028911	1.02847	1.026355	1.016081	1.075477	1.047257	0.984728	1.042384	0.955648	1.056581
