Time	ROI1	ROI2	ROI3	ROI4	ROI5	ROI6	ROI7	ROI8	ROI9			
3.26	0.979889	1.045981	1.031314	1.044956	1.028075	0.963311	1.011287	1.051069	1.12192			
3.27	0.967283	1.028531	1.036108	1.082307	1.029856	1.099115	1.020967	1.043721	1.060349			
3.28	0.967078	1.04704	0.987209	1.057129	1.046439	1.026528	1.0013045	1.030186	1.097256			
3.29	1.0094946	1.090288	1.066739	1.098476	1.079521	1.089563	1.030517	1.066318	1.067654			
3.3	1.14222	1.071773	1.10267	1.087322	1.049998	1.022961	1.049872	1.36099	1.019593			
3.31	1.15108	1.095001	1.10982	1.069834	1.044257	0.984477	0.976774	1.25747	1.0017735			
3.32	1.12364	1.070974	1.071592	1.14857	1.046842	0.98433	0.926644	1.19196	1.038284			
3.33	1.19064	1.061109	1.097213	1.13774	0.987503	1.030652	0.987211	1.2777	1.072874			
3.34	1.20546	1.044679	1.13157	1.23393	1.027913	0.9978901	1.027717	1.21809	1.098701			
3.35	1.19784	1.05852	1.10221	1.096594	1.056112	1.041443	0.963908	1.16244	1.11955			
3.36	1.14408	1.048075	1.088524	1.08511	0.9941395	0.962363	1.033436	1.16045	1.022492			
3.37	1.13392	1.040702	1.035389	1.048646	1.0077521	0.953916	1.014702	1.073722	1.02476			
3.38	1.10028	1.033931	1.050214	1.00042357	0.9966814	1.015201	0.967246	1.30116	1.064345			
3.39	1.10771	1.071763	1.070781	1.056589	1.032064	0.983203	1.0055882	1.18958	1.008736			
3.4	1.083532	1.067975	1.099616	1.035775	1.12408	0.978224	1.027236	1.20231	1.049282			
3.41	1.061617	1.057197	1.034311	1.052903	1.18183	0.99932875	1.070447	1.17774	1.11857			
3.42	1.093415	1.045816	1.073611	1.057526	1.19351	1.040845	1.020187	1.16416	1.10335			
3.43	1.088641	1.05047	1.10544	1.036916	1.18208	1.047517	1.0036583	1.078064	1.1149			
3.44	1.085817	1.078084	1.1113	1.024212	1.18193	0.976151	0.966222	1.028841	1.066083			
3.45	1.057082	1.046993	1.065265	1.014291	1.1332	1.046958	1.042597	1.040003	1.069712			
